"Year","trend","lower_ci","upper_ci","species"
1980,1,1,1,"Ruby-throated Hummingbird"
1981,1.12517907028381,1.02931882529171,1.21853414459061,"Ruby-throated Hummingbird"
1982,1.25582923508021,1.05904869192772,1.46508770412591,"Ruby-throated Hummingbird"
1983,1.37915834062876,1.08378927444908,1.7125517340769,"Ruby-throated Hummingbird"
1984,1.47828975628588,1.10743724134485,1.9188812950389,"Ruby-throated Hummingbird"
1985,1.5341018707314,1.12726894255461,2.06490194276935,"Ruby-throated Hummingbird"
1986,1.53530973275998,1.13748815201844,2.07247145473759,"Ruby-throated Hummingbird"
1987,1.50080983487361,1.10896058623102,2.0176305631534,"Ruby-throated Hummingbird"
1988,1.45745299955387,1.07796765168945,1.95249412695591,"Ruby-throated Hummingbird"
1989,1.43005929191997,1.07812646534298,1.91974633862489,"Ruby-throated Hummingbird"
1990,1.44196756424863,1.08500279602506,1.94165071435339,"Ruby-throated Hummingbird"
1991,1.51307128022487,1.15365075434953,2.0217721188663,"Ruby-throated Hummingbird"
1992,1.64423051917421,1.27508871819298,2.15619989739906,"Ruby-throated Hummingbird"
1993,1.83346040233229,1.42166605476028,2.41264261023876,"Ruby-throated Hummingbird"
1994,2.07870073435838,1.60735699904252,2.71675216231132,"Ruby-throated Hummingbird"
1995,2.37426997852971,1.80794660590766,3.12196408940663,"Ruby-throated Hummingbird"
1996,2.70932152256054,2.07898642270994,3.54566161237494,"Ruby-throated Hummingbird"
1997,3.07349156115437,2.3592368649654,3.97468270605348,"Ruby-throated Hummingbird"
1998,3.45192839351702,2.67429997349918,4.4388904656284,"Ruby-throated Hummingbird"
1999,3.82267212301625,2.99026317831838,4.93339951677642,"Ruby-throated Hummingbird"
2000,4.15685697377955,3.26514441151819,5.38019839432152,"Ruby-throated Hummingbird"
2001,4.42751929997156,3.47855150429246,5.71319266663214,"Ruby-throated Hummingbird"
2002,4.63668037006432,3.63003861248469,6.02489561047294,"Ruby-throated Hummingbird"
2003,4.8000579419973,3.73511315629114,6.18348301797788,"Ruby-throated Hummingbird"
2004,4.93878063486512,3.84630668907918,6.43859251242342,"Ruby-throated Hummingbird"
2005,5.0777140453001,3.94126141590877,6.66245661518465,"Ruby-throated Hummingbird"
2006,5.23366829029251,4.05430847401567,6.90961170410517,"Ruby-throated Hummingbird"
2007,5.3794686295184,4.21315512004022,7.10339888776268,"Ruby-throated Hummingbird"
2008,5.47326494355868,4.26512106487123,7.19559089096346,"Ruby-throated Hummingbird"
2009,5.47149674433609,4.24374573452478,7.13808534905063,"Ruby-throated Hummingbird"
2010,5.33454121802242,4.14538383519267,6.95034967826459,"Ruby-throated Hummingbird"
2011,5.05195134431906,3.94622406783532,6.51412890284139,"Ruby-throated Hummingbird"
2012,4.69112696110119,3.66938609500178,5.97224967437769,"Ruby-throated Hummingbird"
2013,4.32610614148232,3.38277585629978,5.52282916122156,"Ruby-throated Hummingbird"
2014,4.01296270013561,3.12044978676151,5.12747861546043,"Ruby-throated Hummingbird"
2015,3.7925128103713,2.95717820914091,4.81926947997399,"Ruby-throated Hummingbird"
2016,3.68579471739422,2.90119472745825,4.70042085824525,"Ruby-throated Hummingbird"
2017,3.66719662252788,2.90209633049567,4.72440347604159,"Ruby-throated Hummingbird"
2018,3.70591272138335,2.93419947809156,4.80925752958821,"Ruby-throated Hummingbird"
2019,3.77374967495165,2.96752552961099,4.88877060165261,"Ruby-throated Hummingbird"
2020,3.84173030390061,3.0046976304106,5.02199165633054,"Ruby-throated Hummingbird"
2021,3.88515058521998,3.06511471704792,5.12187826316642,"Ruby-throated Hummingbird"
2022,3.90334307047228,3.07378914175074,5.12027221862895,"Ruby-throated Hummingbird"
2023,3.90235256905567,3.06576735248013,5.16234277718791,"Ruby-throated Hummingbird"
2024,3.88857273935531,3.0208852562433,5.10133353670555,"Ruby-throated Hummingbird"
2025,3.86848503540638,2.98197759262443,5.10188000638989,"Ruby-throated Hummingbird"
1980,1,1,1,"Red-tailed Hawk"
1981,1.0632948772787,1.01960964141179,1.10609887240768,"Red-tailed Hawk"
1982,1.13058773536244,1.04243090786565,1.22005595670912,"Red-tailed Hawk"
1983,1.20212179707892,1.07275313658121,1.34074171653684,"Red-tailed Hawk"
1984,1.27815391437811,1.11505958331074,1.46946925268647,"Red-tailed Hawk"
1985,1.35895521365877,1.17146579610609,1.58176828171784,"Red-tailed Hawk"
1986,1.44488408177889,1.23419088255828,1.69355560394598,"Red-tailed Hawk"
1987,1.53664044755179,1.31376358035868,1.78155529184906,"Red-tailed Hawk"
1988,1.6351220075565,1.39985098661973,1.89648248531201,"Red-tailed Hawk"
1989,1.74138169159928,1.49460002247354,2.01354877922712,"Red-tailed Hawk"
1990,1.85665387707366,1.59050798872,2.13778844184637,"Red-tailed Hawk"
1991,1.98162772750562,1.70740207366231,2.27130268223829,"Red-tailed Hawk"
1992,2.1137967227799,1.8020083302486,2.42011476080665,"Red-tailed Hawk"
1993,2.24897177259445,1.9320511051624,2.55723743536947,"Red-tailed Hawk"
1994,2.38184792519742,2.03415482135914,2.72322518963806,"Red-tailed Hawk"
1995,2.50601058581942,2.14262832314336,2.8853934658265,"Red-tailed Hawk"
1996,2.61525631976189,2.24378018552449,3.0173949339553,"Red-tailed Hawk"
1997,2.70774575918754,2.31945404060627,3.11537534622734,"Red-tailed Hawk"
1998,2.78328440035999,2.38273193433488,3.18744325672347,"Red-tailed Hawk"
1999,2.84221662727369,2.44066343561378,3.2322490234664,"Red-tailed Hawk"
2000,2.88536305895077,2.4857436886015,3.29500396838483,"Red-tailed Hawk"
2001,2.91418298352092,2.51087390681955,3.3353469925925,"Red-tailed Hawk"
2002,2.93141813187795,2.52634986832015,3.35203021322278,"Red-tailed Hawk"
2003,2.94029165141844,2.53131515258282,3.3809481501035,"Red-tailed Hawk"
2004,2.9441628534719,2.52849621767551,3.39872099339633,"Red-tailed Hawk"
2005,2.94645024681633,2.54281338429864,3.40544908670227,"Red-tailed Hawk"
2006,2.94961052784356,2.55019045502409,3.40784315403148,"Red-tailed Hawk"
2007,2.95217594197759,2.55375106115391,3.40582151957113,"Red-tailed Hawk"
2008,2.95169068402624,2.56266301103141,3.40446776102898,"Red-tailed Hawk"
2009,2.94570698558139,2.54013866367267,3.38814332227485,"Red-tailed Hawk"
2010,2.9318205411774,2.53162590614353,3.38238550467273,"Red-tailed Hawk"
2011,2.90910155826825,2.51407986527472,3.34350605657972,"Red-tailed Hawk"
2012,2.88217581815891,2.49363350774162,3.32100615548271,"Red-tailed Hawk"
2013,2.8568934747068,2.48444294997131,3.28057429704306,"Red-tailed Hawk"
2014,2.83890929348803,2.45965005801706,3.2733787399791,"Red-tailed Hawk"
2015,2.83377119101988,2.46157735167859,3.255062941519,"Red-tailed Hawk"
2016,2.84398729632296,2.456056535987,3.26928264341498,"Red-tailed Hawk"
2017,2.85970728313809,2.47010178622008,3.28086048881693,"Red-tailed Hawk"
2018,2.86780705894439,2.46262622673589,3.29877380937081,"Red-tailed Hawk"
2019,2.85506537202435,2.44840245292684,3.2905444952403,"Red-tailed Hawk"
2020,2.80881621702709,2.39794506920054,3.26370215510058,"Red-tailed Hawk"
2021,2.72173840633069,2.32214554208479,3.17471277946527,"Red-tailed Hawk"
2022,2.60282542211689,2.24335906924034,2.99821912906747,"Red-tailed Hawk"
2023,2.46462244090878,2.11462033974259,2.86698847866531,"Red-tailed Hawk"
2024,2.3184277019875,1.96677556601404,2.68986375423504,"Red-tailed Hawk"
2025,2.17373008600192,1.83396412683667,2.57826348455088,"Red-tailed Hawk"
1980,1,1,1,"Downy Woodpecker"
1981,1.00250543634062,0.98804642844554,1.017150020941,"Downy Woodpecker"
1982,1.00500322901622,0.976826106661057,1.03413582490199,"Downy Woodpecker"
1983,1.00747933452603,0.966901578106181,1.05047391256416,"Downy Woodpecker"
1984,1.00991957310432,0.958815262258871,1.06565256776055,"Downy Woodpecker"
1985,1.01230963274866,0.952717263197572,1.07962786126422,"Downy Woodpecker"
1986,1.01464735225105,0.948295767017976,1.09056314530225,"Downy Woodpecker"
1987,1.01697978185772,0.944240947151638,1.10207575772055,"Downy Woodpecker"
1988,1.01936674383977,0.942401311692911,1.11264903942091,"Downy Woodpecker"
1989,1.02186862723894,0.940556884190692,1.11952169778312,"Downy Woodpecker"
1990,1.02454643792693,0.940215797761722,1.12697974460516,"Downy Woodpecker"
1991,1.02743396608151,0.93960816185962,1.13373423558872,"Downy Woodpecker"
1992,1.03045347537526,0.938461509145412,1.13800363617636,"Downy Woodpecker"
1993,1.03349829154558,0.939917891505763,1.14433603773967,"Downy Woodpecker"
1994,1.03646048831633,0.939293647326307,1.14830237769328,"Downy Woodpecker"
1995,1.03923091753543,0.941539555511869,1.15390674999446,"Downy Woodpecker"
1996,1.04172464012304,0.946227847591065,1.15933818988479,"Downy Woodpecker"
1997,1.04395746302266,0.946293749872283,1.16498897214363,"Downy Woodpecker"
1998,1.04597094078234,0.947593162942747,1.16785245665254,"Downy Woodpecker"
1999,1.04780711905699,0.952501741336903,1.16994341928206,"Downy Woodpecker"
2000,1.04950845375227,0.956745632388094,1.16788291241042,"Downy Woodpecker"
2001,1.05114471050189,0.95754880499563,1.16664892104458,"Downy Woodpecker"
2002,1.05289414776917,0.9593068066851,1.1667332207622,"Downy Woodpecker"
2003,1.05496330083215,0.960154040661765,1.16804073834815,"Downy Woodpecker"
2004,1.05756052835538,0.961851234151867,1.16612209615409,"Downy Woodpecker"
2005,1.06089684608796,0.967325421234291,1.16957846446128,"Downy Woodpecker"
2006,1.06516493434535,0.972425983626757,1.17382431488943,"Downy Woodpecker"
2007,1.07047318950195,0.97797256875971,1.17692549093623,"Downy Woodpecker"
2008,1.07691231598034,0.984770668222749,1.18085708172359,"Downy Woodpecker"
2009,1.08457825309953,0.989907817895155,1.18907160609055,"Downy Woodpecker"
2010,1.09357311273445,0.997354774093335,1.19553355890689,"Downy Woodpecker"
2011,1.10397945575267,1.00769457593759,1.20464605733527,"Downy Woodpecker"
2012,1.11577884371594,1.02087866481504,1.22132726352059,"Downy Woodpecker"
2013,1.12892843628936,1.0339096977274,1.24041179253328,"Downy Woodpecker"
2014,1.14338649290051,1.04704369474568,1.25814120257986,"Downy Woodpecker"
2015,1.1591116030959,1.06141463481977,1.28076052745888,"Downy Woodpecker"
2016,1.17604948418559,1.07819060786368,1.29753363025263,"Downy Woodpecker"
2017,1.19409335273421,1.09680387424032,1.31487893674708,"Downy Woodpecker"
2018,1.21311760105092,1.11640279881078,1.340886260404,"Downy Woodpecker"
2019,1.23298859985833,1.12713023342542,1.36586012464514,"Downy Woodpecker"
2020,1.25356352852093,1.14590611566648,1.39277809986877,"Downy Woodpecker"
2021,1.27471198941866,1.15948498829533,1.41990536258722,"Downy Woodpecker"
2022,1.29638612298705,1.17420539756603,1.44138546642741,"Downy Woodpecker"
2023,1.3185576166202,1.18613218288026,1.46308864112531,"Downy Woodpecker"
2024,1.34119566260273,1.1957216086977,1.48975062784085,"Downy Woodpecker"
2025,1.36426681046221,1.20967953008275,1.52443013709577,"Downy Woodpecker"
1980,1,1,1,"Blue Jay"
1981,1.03886511048484,1.01016013551674,1.06516358518654,"Blue Jay"
1982,1.07437593544877,1.01793049087627,1.12787777841262,"Blue Jay"
1983,1.10110639107834,1.02075464455775,1.18022988409943,"Blue Jay"
1984,1.11331008912604,1.01610273819706,1.21297816037487,"Blue Jay"
1985,1.10548996943666,1.00162364040638,1.21569840321869,"Blue Jay"
1986,1.07543561071793,0.976399005317494,1.18929091890526,"Blue Jay"
1987,1.03097679155401,0.939631196839671,1.13229125856444,"Blue Jay"
1988,0.981732916690807,0.895469409673556,1.07873680788988,"Blue Jay"
1989,0.935972143612771,0.856425183158504,1.02423051312795,"Blue Jay"
1990,0.900539402577642,0.826517146264774,0.982302169285266,"Blue Jay"
1991,0.87961375406145,0.811538336651119,0.958191242424826,"Blue Jay"
1992,0.870455695047593,0.803879347829643,0.95030936050806,"Blue Jay"
1993,0.869194003446346,0.80341977509788,0.953245574337134,"Blue Jay"
1994,0.872272510601489,0.800883647806212,0.962516575410882,"Blue Jay"
1995,0.876199675365212,0.802996051225073,0.968729693383905,"Blue Jay"
1996,0.877751290382046,0.80653529105307,0.967223773030454,"Blue Jay"
1997,0.874918311993915,0.802968759469396,0.95929620598437,"Blue Jay"
1998,0.866070723272393,0.792864543238344,0.950353799205079,"Blue Jay"
1999,0.849750075434174,0.779872925322122,0.934622459007204,"Blue Jay"
2000,0.82478973766251,0.755850002187629,0.905164329757653,"Blue Jay"
2001,0.791242685527982,0.728145858314733,0.868555145488163,"Blue Jay"
2002,0.752563355571231,0.693930215141143,0.824027673214606,"Blue Jay"
2003,0.71258038280688,0.654923843514878,0.777705927616857,"Blue Jay"
2004,0.674485516380906,0.618220158219834,0.739960170175157,"Blue Jay"
2005,0.640840427945626,0.58654801711171,0.703580756070844,"Blue Jay"
2006,0.613340561920146,0.560512435274328,0.67133483096861,"Blue Jay"
2007,0.592032924475453,0.541545546666521,0.64685593552746,"Blue Jay"
2008,0.576694440857257,0.526175997496982,0.632480609997997,"Blue Jay"
2009,0.567237255828305,0.515615030550685,0.623073945076639,"Blue Jay"
2010,0.563723515015725,0.513093512952273,0.620855405563975,"Blue Jay"
2011,0.566092746476938,0.517119583881827,0.62253970186191,"Blue Jay"
2012,0.573275990262972,0.52650076659016,0.627295133758652,"Blue Jay"
2013,0.583987563169933,0.531705108826627,0.636546119413281,"Blue Jay"
2014,0.596919935654065,0.542926941890637,0.650012872697028,"Blue Jay"
2015,0.610675036122862,0.554763353847085,0.669633966858581,"Blue Jay"
2016,0.623843961589118,0.566750720403186,0.683279803982447,"Blue Jay"
2017,0.635372357704671,0.578436477188248,0.696506884100467,"Blue Jay"
2018,0.644262962491566,0.586966311354598,0.708444629747713,"Blue Jay"
2019,0.649496024993812,0.589728268321189,0.715116318343378,"Blue Jay"
2020,0.650076234086817,0.587896954973368,0.72269496592051,"Blue Jay"
2021,0.645427559280281,0.586058558238653,0.713601527731342,"Blue Jay"
2022,0.636424763922791,0.581108104512846,0.700353673167341,"Blue Jay"
2023,0.624322369365172,0.565345893117205,0.690130609695385,"Blue Jay"
2024,0.610349925340089,0.545738565884165,0.674898272865124,"Blue Jay"
2025,0.595666234521381,0.517767853193778,0.674115019144212,"Blue Jay"
1980,1,1,1,"American Robin"
1981,1.07311180000077,1.03698327473973,1.11388857837467,"American Robin"
1982,1.14959819885692,1.07633747208832,1.23554369690204,"American Robin"
1983,1.2273246212677,1.11926567507124,1.35913219666665,"American Robin"
1984,1.3035905999593,1.16694722572565,1.47650436595387,"American Robin"
1985,1.37514194433611,1.22100678372493,1.57949439695708,"American Robin"
1986,1.43806352985208,1.27784346938052,1.66030550416742,"American Robin"
1987,1.4873281943261,1.32536364855156,1.69583593067812,"American Robin"
1988,1.51757886369439,1.35304678260742,1.71809487335534,"American Robin"
1989,1.5238035243601,1.36272433595917,1.7217155465851,"American Robin"
1990,1.50195682839184,1.34213819203891,1.68609185470111,"American Robin"
1991,1.4526797735115,1.30204708773115,1.62537780783573,"American Robin"
1992,1.38983151087673,1.25440807234513,1.55320083120691,"American Robin"
1993,1.32875762579771,1.19895724928008,1.50068138468098,"American Robin"
1994,1.28242585414157,1.14780877034584,1.46288431938007,"American Robin"
1995,1.26221450380518,1.12202451590631,1.44133808170762,"American Robin"
1996,1.27536830679743,1.13733987848423,1.46577719523782,"American Robin"
1997,1.31319509409109,1.17288706071903,1.5005645003932,"American Robin"
1998,1.36294805099677,1.21911846789144,1.55824032121941,"American Robin"
1999,1.41042831418355,1.2595696176695,1.61012654350093,"American Robin"
2000,1.4394932722073,1.27832330815658,1.65187576623252,"American Robin"
2001,1.43855002497164,1.28302008696506,1.65555726103617,"American Robin"
2002,1.41835530658317,1.26877543784898,1.63106048903761,"American Robin"
2003,1.39534768371516,1.25449278046664,1.61172736455261,"American Robin"
2004,1.38519128996809,1.2471609888007,1.60073519890742,"American Robin"
2005,1.4033292457212,1.25818980986657,1.61432001579301,"American Robin"
2006,1.46126725350603,1.31647037207749,1.67477589331401,"American Robin"
2007,1.54931006591199,1.39559087516235,1.76803581751365,"American Robin"
2008,1.65009582325687,1.4856123601458,1.87836139201442,"American Robin"
2009,1.74166906016064,1.56514673503136,1.99016338816756,"American Robin"
2010,1.7973442870806,1.60822565800879,2.04581794595899,"American Robin"
2011,1.79561752281197,1.61002031328622,2.04180636852246,"American Robin"
2012,1.74484966431739,1.57169165647585,1.98527490443059,"American Robin"
2013,1.66300191569346,1.49427805190526,1.89934989881051,"American Robin"
2014,1.56764231057769,1.40484061092131,1.78796531054651,"American Robin"
2015,1.47383759773769,1.32085740849644,1.69085880405922,"American Robin"
2016,1.39180994929866,1.24957328126536,1.59431178438898,"American Robin"
2017,1.32287334399699,1.19654538504824,1.51506039792387,"American Robin"
2018,1.26647108070068,1.14451686889268,1.45984943126683,"American Robin"
2019,1.22219817822083,1.10333526869435,1.40588376594073,"American Robin"
2020,1.18983842325553,1.07308888567059,1.36537708142571,"American Robin"
2021,1.16888614403008,1.05333417697405,1.33958557914841,"American Robin"
2022,1.15707353838317,1.04262696415994,1.32769974867617,"American Robin"
2023,1.15193536142892,1.03568713639085,1.31626909213167,"American Robin"
2024,1.15119136610049,1.02031358016311,1.33121853856719,"American Robin"
2025,1.15263836240682,1.00638425830678,1.33804517409854,"American Robin"
1980,1,1,1,"American Goldfinch"
1981,1.08650705044966,1.03663954836426,1.13986557781695,"American Goldfinch"
1982,1.17386992617129,1.0724088903619,1.28736836958062,"American Goldfinch"
1983,1.25405666703049,1.10484856437809,1.42739162203522,"American Goldfinch"
1984,1.31728268269841,1.13173384396679,1.5394660737763,"American Goldfinch"
1985,1.35288324591862,1.15088678517493,1.60021865320762,"American Goldfinch"
1986,1.354112742262,1.15527216993959,1.59701039444497,"American Goldfinch"
1987,1.32926406402348,1.13966619657887,1.56625065167628,"American Goldfinch"
1988,1.29097304713909,1.11641793051374,1.49766450638715,"American Goldfinch"
1989,1.2512961193924,1.08160456169437,1.44415173335348,"American Goldfinch"
1990,1.22103347599831,1.05426259292735,1.40878626857026,"American Goldfinch"
1991,1.20788842659454,1.04907874654345,1.39234385074824,"American Goldfinch"
1992,1.21099909068045,1.05495546063924,1.39358039080611,"American Goldfinch"
1993,1.2279599980184,1.07324009661855,1.42516482032468,"American Goldfinch"
1994,1.25676386510864,1.0909121184009,1.47233241662676,"American Goldfinch"
1995,1.29556101818224,1.11565480013135,1.5173565692035,"American Goldfinch"
1996,1.34208690576363,1.15858924753987,1.57506165869258,"American Goldfinch"
1997,1.39225456094989,1.2106087649329,1.62763725224351,"American Goldfinch"
1998,1.44094288455508,1.25309886289528,1.67980627128427,"American Goldfinch"
1999,1.48231278966046,1.29033655027148,1.713528698392,"American Goldfinch"
2000,1.50998551249053,1.31132192478141,1.74391312822072,"American Goldfinch"
2001,1.51941331302925,1.31415899966557,1.76054069354074,"American Goldfinch"
2002,1.51426460869925,1.31635174034492,1.7577459665839,"American Goldfinch"
2003,1.50057709490633,1.30775755270768,1.75154512495802,"American Goldfinch"
2004,1.48440889462332,1.28813515727829,1.74042005992819,"American Goldfinch"
2005,1.47161930104793,1.28022097105198,1.73387045437874,"American Goldfinch"
2006,1.46600564871511,1.27733753062759,1.72385918830671,"American Goldfinch"
2007,1.463860885542,1.27760195006664,1.71615307785528,"American Goldfinch"
2008,1.45967869017334,1.26624649512746,1.70691645387665,"American Goldfinch"
2009,1.44802923945204,1.25400054246945,1.69814267041826,"American Goldfinch"
2010,1.42373545918968,1.23690114799907,1.65840444385421,"American Goldfinch"
2011,1.38406637523279,1.20280004113707,1.59940007365381,"American Goldfinch"
2012,1.33414079222101,1.16146462110733,1.53761122015733,"American Goldfinch"
2013,1.28049962560124,1.11516605485841,1.46546916825233,"American Goldfinch"
2014,1.22887077008802,1.06788506967939,1.39866293267138,"American Goldfinch"
2015,1.18412583574572,1.02219037523182,1.34948137299881,"American Goldfinch"
2016,1.14955009213903,0.988894371156187,1.31253272912113,"American Goldfinch"
2017,1.12460563785645,0.965916328555294,1.29125487076494,"American Goldfinch"
2018,1.10809356700352,0.949745053940393,1.28029710236725,"American Goldfinch"
2019,1.09905124271325,0.935815597258714,1.28170242302864,"American Goldfinch"
2020,1.09669607695467,0.925195513228239,1.28520597410933,"American Goldfinch"
2021,1.10027976143796,0.931565575725854,1.29167595397154,"American Goldfinch"
2022,1.10874235674292,0.947847871856507,1.30341192569712,"American Goldfinch"
2023,1.12096270368814,0.957215469649909,1.31456885647233,"American Goldfinch"
2024,1.13581350215301,0.96631064027913,1.34362844779181,"American Goldfinch"
2025,1.15212754817269,0.961176929808585,1.39187943338696,"American Goldfinch"
1980,1,1,1,"Northern Cardinal"
1981,1.02670762478258,0.993716626369291,1.06313681878303,"Northern Cardinal"
1982,1.05165497546367,0.987714283339866,1.12462280530701,"Northern Cardinal"
1983,1.0721589787954,0.982228554014222,1.17866259172497,"Northern Cardinal"
1984,1.08538599084028,0.975634378101294,1.21785421178266,"Northern Cardinal"
1985,1.08849906851099,0.970055708693915,1.22699874954629,"Northern Cardinal"
1986,1.0799853710251,0.961444392026261,1.22768494652867,"Northern Cardinal"
1987,1.06309114401247,0.951212496152497,1.20398768195414,"Northern Cardinal"
1988,1.04219798583415,0.941468397215117,1.16854772380326,"Northern Cardinal"
1989,1.02145995542371,0.926957626974969,1.1382800674664,"Northern Cardinal"
1990,1.00472713966507,0.91785564019428,1.11151256375388,"Northern Cardinal"
1991,0.994708523432592,0.910440892648382,1.09971611385213,"Northern Cardinal"
1992,0.990452267785748,0.905597929505588,1.09436853987495,"Northern Cardinal"
1993,0.990219139041529,0.901210067606256,1.0935233189343,"Northern Cardinal"
1994,0.99233699879719,0.89999561432555,1.10573641967642,"Northern Cardinal"
1995,0.995146919604106,0.89698236096028,1.11006293802891,"Northern Cardinal"
1996,0.997559472724384,0.894690811396008,1.11503319091014,"Northern Cardinal"
1997,1.00080828716962,0.894752447632261,1.11247655061727,"Northern Cardinal"
1998,1.00673181409912,0.903270453502775,1.12589470976508,"Northern Cardinal"
1999,1.0172268155541,0.91471445549465,1.13916848124074,"Northern Cardinal"
2000,1.0343159378721,0.92762645653293,1.15092139716463,"Northern Cardinal"
2001,1.05907247067201,0.955404815635274,1.1813358995921,"Northern Cardinal"
2002,1.0879330237674,0.985257402006362,1.20509281783819,"Northern Cardinal"
2003,1.11574503986848,1.00714134001489,1.23663382983578,"Northern Cardinal"
2004,1.13683229012013,1.02161638740921,1.26460791480255,"Northern Cardinal"
2005,1.14519323394551,1.02682888183005,1.27219938883906,"Northern Cardinal"
2006,1.1372344026412,1.02133601783813,1.25820284507078,"Northern Cardinal"
2007,1.118846097699,1.00791861749937,1.23308544427906,"Northern Cardinal"
2008,1.09813507634824,0.989497328690442,1.2074954997322,"Northern Cardinal"
2009,1.08273488504039,0.973384537327792,1.19585368654317,"Northern Cardinal"
2010,1.07990450343236,0.9742230907874,1.19822675974591,"Northern Cardinal"
2011,1.09446627222105,0.989450316178702,1.21302396730072,"Northern Cardinal"
2012,1.12122910377596,1.01275544363974,1.23816086274974,"Northern Cardinal"
2013,1.1521883516311,1.03980276971606,1.27165257887649,"Northern Cardinal"
2014,1.17856062086436,1.06052414396737,1.31054403225921,"Northern Cardinal"
2015,1.19080839694075,1.06943793048724,1.33049205679224,"Northern Cardinal"
2016,1.18242392273996,1.05996352474491,1.31712257197256,"Northern Cardinal"
2017,1.15983531525764,1.04033171183144,1.2901967711181,"Northern Cardinal"
2018,1.13260727006976,1.02248616909656,1.25263887729004,"Northern Cardinal"
2019,1.10966107803853,0.997399983895056,1.22528603696845,"Northern Cardinal"
2020,1.09925246463576,0.988276172945896,1.21516318086237,"Northern Cardinal"
2021,1.10747832727093,0.997794978859282,1.22399583087435,"Northern Cardinal"
2022,1.13267253420752,1.02237065969759,1.25730722553744,"Northern Cardinal"
2023,1.17158016972286,1.0607438830695,1.30672057500628,"Northern Cardinal"
2024,1.22097093979333,1.10071469312124,1.36617869239144,"Northern Cardinal"
2025,1.27723696501632,1.13098626822756,1.45335022973626,"Northern Cardinal"
